task_no,option_no,type,cost,quality,volume,labor_cost,work_day,day_hour,e
1,Option1,Administration,90.0,0.7,1.9,700,5,8,1.0
1,Option1,Material,3200.0,0.7,1.9,700,5,8,1.0
1,Option1,Equipment,1440.0,0.8,1.9,700,5,8,1.0
1,Option1,Administration,90.0,0.7,1.9,700,5,9,0.9
1,Option1,Material,3200.0,0.7,1.9,700,5,9,0.9
1,Option1,Equipment,1440.0,0.8,1.9,700,5,9,0.9
1,Option1,Administration,90.0,0.7,1.9,700,5,10,0.85
1,Option1,Material,3200.0,0.7,1.9,700,5,10,0.85
1,Option1,Equipment,1440.0,0.8,1.9,700,5,10,0.85
1,Option1,Administration,90.0,0.7,1.9,700,5,11,0.65
1,Option1,Material,3200.0,0.7,1.9,700,5,11,0.65
1,Option1,Equipment,1440.0,0.8,1.9,700,5,11,0.65
1,Option1,Administration,90.0,0.7,1.9,700,5,12,0.6
1,Option1,Material,3200.0,0.7,1.9,700,5,12,0.6
1,Option1,Equipment,1440.0,0.8,1.9,700,5,12,0.6
1,Option1,Administration,90.0,0.7,1.9,700,6,8,0.9
1,Option1,Material,3200.0,0.7,1.9,700,6,8,0.9
1,Option1,Equipment,1440.0,0.8,1.9,700,6,8,0.9
1,Option1,Administration,90.0,0.7,1.9,700,6,9,0.85
1,Option1,Material,3200.0,0.7,1.9,700,6,9,0.85
1,Option1,Equipment,1440.0,0.8,1.9,700,6,9,0.85
1,Option1,Administration,90.0,0.7,1.9,700,6,10,0.8
1,Option1,Material,3200.0,0.7,1.9,700,6,10,0.8
1,Option1,Equipment,1440.0,0.8,1.9,700,6,10,0.8
1,Option1,Administration,90.0,0.7,1.9,700,6,11,0.65
1,Option1,Material,3200.0,0.7,1.9,700,6,11,0.65
1,Option1,Equipment,1440.0,0.8,1.9,700,6,11,0.65
1,Option1,Administration,90.0,0.7,1.9,700,6,12,0.6
1,Option1,Material,3200.0,0.7,1.9,700,6,12,0.6
1,Option1,Equipment,1440.0,0.8,1.9,700,6,12,0.6
1,Option1,Administration,90.0,0.7,1.9,700,7,8,0.75
1,Option1,Material,3200.0,0.7,1.9,700,7,8,0.75
1,Option1,Equipment,1440.0,0.8,1.9,700,7,8,0.75
1,Option1,Administration,90.0,0.7,1.9,700,7,9,0.7
1,Option1,Material,3200.0,0.7,1.9,700,7,9,0.7
1,Option1,Equipment,1440.0,0.8,1.9,700,7,9,0.7
1,Option1,Administration,90.0,0.7,1.9,700,7,10,0.65
1,Option1,Material,3200.0,0.7,1.9,700,7,10,0.65
1,Option1,Equipment,1440.0,0.8,1.9,700,7,10,0.65
1,Option1,Administration,90.0,0.7,1.9,700,7,11,0.6
1,Option1,Material,3200.0,0.7,1.9,700,7,11,0.6
1,Option1,Equipment,1440.0,0.8,1.9,700,7,11,0.6
1,Option1,Administration,90.0,0.7,1.9,700,7,12,0.55
1,Option1,Material,3200.0,0.7,1.9,700,7,12,0.55
1,Option1,Equipment,1440.0,0.8,1.9,700,7,12,0.55
1,Option2,Administration,120.0,0.85,1.9,700,5,8,1.0
1,Option2,Material,3850.0,0.85,1.9,700,5,8,1.0
1,Option2,Equipment,1200.0,0.9,1.9,700,5,8,1.0
1,Option2,Administration,120.0,0.85,1.9,700,5,9,0.9
1,Option2,Material,3850.0,0.85,1.9,700,5,9,0.9
1,Option2,Equipment,1200.0,0.9,1.9,700,5,9,0.9
1,Option2,Administration,120.0,0.85,1.9,700,5,10,0.85
1,Option2,Material,3850.0,0.85,1.9,700,5,10,0.85
1,Option2,Equipment,1200.0,0.9,1.9,700,5,10,0.85
1,Option2,Administration,120.0,0.85,1.9,700,5,11,0.65
1,Option2,Material,3850.0,0.85,1.9,700,5,11,0.65
1,Option2,Equipment,1200.0,0.9,1.9,700,5,11,0.65
1,Option2,Administration,120.0,0.85,1.9,700,5,12,0.6
1,Option2,Material,3850.0,0.85,1.9,700,5,12,0.6
1,Option2,Equipment,1200.0,0.9,1.9,700,5,12,0.6
1,Option2,Administration,120.0,0.85,1.9,700,6,8,0.9
1,Option2,Material,3850.0,0.85,1.9,700,6,8,0.9
1,Option2,Equipment,1200.0,0.9,1.9,700,6,8,0.9
1,Option2,Administration,120.0,0.85,1.9,700,6,9,0.85
1,Option2,Material,3850.0,0.85,1.9,700,6,9,0.85
1,Option2,Equipment,1200.0,0.9,1.9,700,6,9,0.85
1,Option2,Administration,120.0,0.85,1.9,700,6,10,0.8
1,Option2,Material,3850.0,0.85,1.9,700,6,10,0.8
1,Option2,Equipment,1200.0,0.9,1.9,700,6,10,0.8
1,Option2,Administration,120.0,0.85,1.9,700,6,11,0.65
1,Option2,Material,3850.0,0.85,1.9,700,6,11,0.65
1,Option2,Equipment,1200.0,0.9,1.9,700,6,11,0.65
1,Option2,Administration,120.0,0.85,1.9,700,6,12,0.6
1,Option2,Material,3850.0,0.85,1.9,700,6,12,0.6
1,Option2,Equipment,1200.0,0.9,1.9,700,6,12,0.6
1,Option2,Administration,120.0,0.85,1.9,700,7,8,0.75
1,Option2,Material,3850.0,0.85,1.9,700,7,8,0.75
1,Option2,Equipment,1200.0,0.9,1.9,700,7,8,0.75
1,Option2,Administration,120.0,0.85,1.9,700,7,9,0.7
1,Option2,Material,3850.0,0.85,1.9,700,7,9,0.7
1,Option2,Equipment,1200.0,0.9,1.9,700,7,9,0.7
1,Option2,Administration,120.0,0.85,1.9,700,7,10,0.65
1,Option2,Material,3850.0,0.85,1.9,700,7,10,0.65
1,Option2,Equipment,1200.0,0.9,1.9,700,7,10,0.65
1,Option2,Administration,120.0,0.85,1.9,700,7,11,0.6
1,Option2,Material,3850.0,0.85,1.9,700,7,11,0.6
1,Option2,Equipment,1200.0,0.9,1.9,700,7,11,0.6
1,Option2,Administration,120.0,0.85,1.9,700,7,12,0.55
1,Option2,Material,3850.0,0.85,1.9,700,7,12,0.55
1,Option2,Equipment,1200.0,0.9,1.9,700,7,12,0.55
1,Option3,Administration,150.0,1.0,1.9,700,5,8,1.0
1,Option3,Material,4500.0,1.0,1.9,700,5,8,1.0
1,Option3,Equipment,1040.0,1.0,1.9,700,5,8,1.0
1,Option3,Administration,150.0,1.0,1.9,700,5,9,0.9
1,Option3,Material,4500.0,1.0,1.9,700,5,9,0.9
1,Option3,Equipment,1040.0,1.0,1.9,700,5,9,0.9
1,Option3,Administration,150.0,1.0,1.9,700,5,10,0.85
1,Option3,Material,4500.0,1.0,1.9,700,5,10,0.85
1,Option3,Equipment,1040.0,1.0,1.9,700,5,10,0.85
1,Option3,Administration,150.0,1.0,1.9,700,5,11,0.65
1,Option3,Material,4500.0,1.0,1.9,700,5,11,0.65
1,Option3,Equipment,1040.0,1.0,1.9,700,5,11,0.65
1,Option3,Administration,150.0,1.0,1.9,700,5,12,0.6
1,Option3,Material,4500.0,1.0,1.9,700,5,12,0.6
1,Option3,Equipment,1040.0,1.0,1.9,700,5,12,0.6
1,Option3,Administration,150.0,1.0,1.9,700,6,8,0.9
1,Option3,Material,4500.0,1.0,1.9,700,6,8,0.9
1,Option3,Equipment,1040.0,1.0,1.9,700,6,8,0.9
1,Option3,Administration,150.0,1.0,1.9,700,6,9,0.85
1,Option3,Material,4500.0,1.0,1.9,700,6,9,0.85
1,Option3,Equipment,1040.0,1.0,1.9,700,6,9,0.85
1,Option3,Administration,150.0,1.0,1.9,700,6,10,0.8
1,Option3,Material,4500.0,1.0,1.9,700,6,10,0.8
1,Option3,Equipment,1040.0,1.0,1.9,700,6,10,0.8
1,Option3,Administration,150.0,1.0,1.9,700,6,11,0.65
1,Option3,Material,4500.0,1.0,1.9,700,6,11,0.65
1,Option3,Equipment,1040.0,1.0,1.9,700,6,11,0.65
1,Option3,Administration,150.0,1.0,1.9,700,6,12,0.6
1,Option3,Material,4500.0,1.0,1.9,700,6,12,0.6
1,Option3,Equipment,1040.0,1.0,1.9,700,6,12,0.6
1,Option3,Administration,150.0,1.0,1.9,700,7,8,0.75
1,Option3,Material,4500.0,1.0,1.9,700,7,8,0.75
1,Option3,Equipment,1040.0,1.0,1.9,700,7,8,0.75
1,Option3,Administration,150.0,1.0,1.9,700,7,9,0.7
1,Option3,Material,4500.0,1.0,1.9,700,7,9,0.7
1,Option3,Equipment,1040.0,1.0,1.9,700,7,9,0.7
1,Option3,Administration,150.0,1.0,1.9,700,7,10,0.65
1,Option3,Material,4500.0,1.0,1.9,700,7,10,0.65
1,Option3,Equipment,1040.0,1.0,1.9,700,7,10,0.65
1,Option3,Administration,150.0,1.0,1.9,700,7,11,0.6
1,Option3,Material,4500.0,1.0,1.9,700,7,11,0.6
1,Option3,Equipment,1040.0,1.0,1.9,700,7,11,0.6
1,Option3,Administration,150.0,1.0,1.9,700,7,12,0.55
1,Option3,Material,4500.0,1.0,1.9,700,7,12,0.55
1,Option3,Equipment,1040.0,1.0,1.9,700,7,12,0.55
2,Option1,Administration,90.0,0.7,10.0,300,5,8,1.0
2,Option1,Material,800.0,0.7,10.0,300,5,8,1.0
2,Option1,Equipment,1210.0,0.8,10.0,300,5,8,1.0
2,Option1,Administration,90.0,0.7,10.0,300,5,9,0.9
2,Option1,Material,800.0,0.7,10.0,300,5,9,0.9
2,Option1,Equipment,1210.0,0.8,10.0,300,5,9,0.9
2,Option1,Administration,90.0,0.7,10.0,300,5,10,0.85
2,Option1,Material,800.0,0.7,10.0,300,5,10,0.85
2,Option1,Equipment,1210.0,0.8,10.0,300,5,10,0.85
2,Option1,Administration,90.0,0.7,10.0,300,5,11,0.65
2,Option1,Material,800.0,0.7,10.0,300,5,11,0.65
2,Option1,Equipment,1210.0,0.8,10.0,300,5,11,0.65
2,Option1,Administration,90.0,0.7,10.0,300,5,12,0.6
2,Option1,Material,800.0,0.7,10.0,300,5,12,0.6
2,Option1,Equipment,1210.0,0.8,10.0,300,5,12,0.6
2,Option1,Administration,90.0,0.7,10.0,300,6,8,0.9
2,Option1,Material,800.0,0.7,10.0,300,6,8,0.9
2,Option1,Equipment,1210.0,0.8,10.0,300,6,8,0.9
2,Option1,Administration,90.0,0.7,10.0,300,6,9,0.85
2,Option1,Material,800.0,0.7,10.0,300,6,9,0.85
2,Option1,Equipment,1210.0,0.8,10.0,300,6,9,0.85
2,Option1,Administration,90.0,0.7,10.0,300,6,10,0.8
2,Option1,Material,800.0,0.7,10.0,300,6,10,0.8
2,Option1,Equipment,1210.0,0.8,10.0,300,6,10,0.8
2,Option1,Administration,90.0,0.7,10.0,300,6,11,0.65
2,Option1,Material,800.0,0.7,10.0,300,6,11,0.65
2,Option1,Equipment,1210.0,0.8,10.0,300,6,11,0.65
2,Option1,Administration,90.0,0.7,10.0,300,6,12,0.6
2,Option1,Material,800.0,0.7,10.0,300,6,12,0.6
2,Option1,Equipment,1210.0,0.8,10.0,300,6,12,0.6
2,Option1,Administration,90.0,0.7,10.0,300,7,8,0.75
2,Option1,Material,800.0,0.7,10.0,300,7,8,0.75
2,Option1,Equipment,1210.0,0.8,10.0,300,7,8,0.75
2,Option1,Administration,90.0,0.7,10.0,300,7,9,0.7
2,Option1,Material,800.0,0.7,10.0,300,7,9,0.7
2,Option1,Equipment,1210.0,0.8,10.0,300,7,9,0.7
2,Option1,Administration,90.0,0.7,10.0,300,7,10,0.65
2,Option1,Material,800.0,0.7,10.0,300,7,10,0.65
2,Option1,Equipment,1210.0,0.8,10.0,300,7,10,0.65
2,Option1,Administration,90.0,0.7,10.0,300,7,11,0.6
2,Option1,Material,800.0,0.7,10.0,300,7,11,0.6
2,Option1,Equipment,1210.0,0.8,10.0,300,7,11,0.6
2,Option1,Administration,90.0,0.7,10.0,300,7,12,0.55
2,Option1,Material,800.0,0.7,10.0,300,7,12,0.55
2,Option1,Equipment,1210.0,0.8,10.0,300,7,12,0.55
2,Option2,Administration,120.0,0.85,10.0,300,5,8,1.0
2,Option2,Material,950.0,0.85,10.0,300,5,8,1.0
2,Option2,Equipment,1150.0,0.9,10.0,300,5,8,1.0
2,Option2,Administration,120.0,0.85,10.0,300,5,9,0.9
2,Option2,Material,950.0,0.85,10.0,300,5,9,0.9
2,Option2,Equipment,1150.0,0.9,10.0,300,5,9,0.9
2,Option2,Administration,120.0,0.85,10.0,300,5,10,0.85
2,Option2,Material,950.0,0.85,10.0,300,5,10,0.85
2,Option2,Equipment,1150.0,0.9,10.0,300,5,10,0.85
2,Option2,Administration,120.0,0.85,10.0,300,5,11,0.65
2,Option2,Material,950.0,0.85,10.0,300,5,11,0.65
2,Option2,Equipment,1150.0,0.9,10.0,300,5,11,0.65
2,Option2,Administration,120.0,0.85,10.0,300,5,12,0.6
2,Option2,Material,950.0,0.85,10.0,300,5,12,0.6
2,Option2,Equipment,1150.0,0.9,10.0,300,5,12,0.6
2,Option2,Administration,120.0,0.85,10.0,300,6,8,0.9
2,Option2,Material,950.0,0.85,10.0,300,6,8,0.9
2,Option2,Equipment,1150.0,0.9,10.0,300,6,8,0.9
2,Option2,Administration,120.0,0.85,10.0,300,6,9,0.85
2,Option2,Material,950.0,0.85,10.0,300,6,9,0.85
2,Option2,Equipment,1150.0,0.9,10.0,300,6,9,0.85
2,Option2,Administration,120.0,0.85,10.0,300,6,10,0.8
2,Option2,Material,950.0,0.85,10.0,300,6,10,0.8
2,Option2,Equipment,1150.0,0.9,10.0,300,6,10,0.8
2,Option2,Administration,120.0,0.85,10.0,300,6,11,0.65
2,Option2,Material,950.0,0.85,10.0,300,6,11,0.65
2,Option2,Equipment,1150.0,0.9,10.0,300,6,11,0.65
2,Option2,Administration,120.0,0.85,10.0,300,6,12,0.6
2,Option2,Material,950.0,0.85,10.0,300,6,12,0.6
2,Option2,Equipment,1150.0,0.9,10.0,300,6,12,0.6
2,Option2,Administration,120.0,0.85,10.0,300,7,8,0.75
2,Option2,Material,950.0,0.85,10.0,300,7,8,0.75
2,Option2,Equipment,1150.0,0.9,10.0,300,7,8,0.75
2,Option2,Administration,120.0,0.85,10.0,300,7,9,0.7
2,Option2,Material,950.0,0.85,10.0,300,7,9,0.7
2,Option2,Equipment,1150.0,0.9,10.0,300,7,9,0.7
2,Option2,Administration,120.0,0.85,10.0,300,7,10,0.65
2,Option2,Material,950.0,0.85,10.0,300,7,10,0.65
