task_no,administration_option,administration_cost,administration_quality,material_option,material_cost,material_quality,equipment_option,equipment_cost,equipment_quality,volume,labor_cost,work_day,day_hour,e,duration
1,Option1,90,0.7,Option1,3200,0.7,Option1,1440,0.8,1.9,700,5,8,1,1.9
,Option1,90,0.7,Option1,3200,0.7,Option1,1440,0.8,1.9,700,5,9,0.9,1.87654321
,Option1,90,0.7,Option1,3200,0.7,Option1,1440,0.8,1.9,700,5,10,0.85,1.788235294
,Option1,90,0.7,Option1,3200,0.7,Option1,1440,0.8,1.9,700,5,11,0.65,2.125874126
,Option1,90,0.7,Option1,3200,0.7,Option1,1440,0.8,1.9,700,5,12,0.6,2.111111111
,Option1,90,0.7,Option1,3200,0.7,Option1,1440,0.8,1.9,700,6,8,0.9,2.111111111
,Option1,90,0.7,Option1,3200,0.7,Option1,1440,0.8,1.9,700,6,9,0.85,1.986928105
,Option1,90,0.7,Option1,3200,0.7,Option1,1440,0.8,1.9,700,6,10,0.8,1.9
,Option1,90,0.7,Option1,3200,0.7,Option1,1440,0.8,1.9,700,6,11,0.65,2.125874126
,Option1,90,0.7,Option1,3200,0.7,Option1,1440,0.8,1.9,700,6,12,0.6,2.111111111
,Option1,90,0.7,Option1,3200,0.7,Option1,1440,0.8,1.9,700,7,8,0.75,2.533333333
,Option1,90,0.7,Option1,3200,0.7,Option1,1440,0.8,1.9,700,7,9,0.7,2.412698413
,Option1,90,0.7,Option1,3200,0.7,Option1,1440,0.8,1.9,700,7,10,0.65,2.338461538
,Option1,90,0.7,Option1,3200,0.7,Option1,1440,0.8,1.9,700,7,11,0.6,2.303030303
,Option1,90,0.7,Option1,3200,0.7,Option1,1440,0.8,1.9,700,7,12,0.55,2.303030303
,Option1,90,0.7,Option1,3200,0.7,Option2,1200,0.9,1.9,700,5,8,1,1.9
,Option1,90,0.7,Option1,3200,0.7,Option2,1200,0.9,1.9,700,5,9,0.9,1.87654321
,Option1,90,0.7,Option1,3200,0.7,Option2,1200,0.9,1.9,700,5,10,0.85,1.788235294
,Option1,90,0.7,Option1,3200,0.7,Option2,1200,0.9,1.9,700,5,11,0.65,2.125874126
,Option1,90,0.7,Option1,3200,0.7,Option2,1200,0.9,1.9,700,5,12,0.6,2.111111111
,Option1,90,0.7,Option1,3200,0.7,Option2,1200,0.9,1.9,700,6,8,0.9,2.111111111
,Option1,90,0.7,Option1,3200,0.7,Option2,1200,0.9,1.9,700,6,9,0.85,1.986928105
,Option1,90,0.7,Option1,3200,0.7,Option2,1200,0.9,1.9,700,6,10,0.8,1.9
,Option1,90,0.7,Option1,3200,0.7,Option2,1200,0.9,1.9,700,6,11,0.65,2.125874126
,Option1,90,0.7,Option1,3200,0.7,Option2,1200,0.9,1.9,700,6,12,0.6,2.111111111
,Option1,90,0.7,Option1,3200,0.7,Option2,1200,0.9,1.9,700,7,8,0.75,2.533333333
,Option1,90,0.7,Option1,3200,0.7,Option2,1200,0.9,1.9,700,7,9,0.7,2.412698413
,Option1,90,0.7,Option1,3200,0.7,Option2,1200,0.9,1.9,700,7,10,0.65,2.338461538
,Option1,90,0.7,Option1,3200,0.7,Option2,1200,0.9,1.9,700,7,11,0.6,2.303030303
,Option1,90,0.7,Option1,3200,0.7,Option2,1200,0.9,1.9,700,7,12,0.55,2.303030303
,Option1,90,0.7,Option1,3200,0.7,Option3,1040,1,1.9,700,5,8,1,1.9
,Option1,90,0.7,Option1,3200,0.7,Option3,1040,1,1.9,700,5,9,0.9,1.87654321
,Option1,90,0.7,Option1,3200,0.7,Option3,1040,1,1.9,700,5,10,0.85,1.788235294
,Option1,90,0.7,Option1,3200,0.7,Option3,1040,1,1.9,700,5,11,0.65,2.125874126
